,school_id,mean,intervention,remoteness_index,cct_percentage,student_classroom_ratio,student_teacher_ratio,pwd_total,female_percentage,male_percentage,pca
4530,109383,13.304,1,0.011811632,0,0.003598791,0.023095238,0,0.357388316,0.31185567,0.000999999
4531,109384,13.634,1,0.004676901,0,0.006103103,0.029375,0,0.300236407,0.34929078,0.000999999
4532,109385,15.116,1,0.006263957,0.001699235,0.0066451,0.032694444,0,0.369300481,0.298853016,0.001000055
4533,109386,14.32,1,0.01133411,0.203821656,0.003397827,0.018690476,0,0.377919321,0.308917197,0.000999999
4534,109387,15.356,1,0.014100926,0.002762431,0.004273353,0.025138889,0,0.403314917,0.273480663,0.001000055
4535,109388,14.314,1,0.006653699,0.085416667,0.004452112,0.025,0,0.376388889,0.301041667,0.000999999
4536,109389,14.7,1,0.010779343,0.297577855,0.003127299,0.026759259,0,0.362168397,0.311418685,0.001000055
4537,109390,14.83,1,0.013216107,0.236111111,0.002157562,0.0225,0,0.345679012,0.321759259,0.000999999
4538,109391,16.376,1,0.015849496,0.420542636,0.003526541,0.030714286,0,0.339793282,0.300387597,0.001000055
4539,109392,15.41,1,0.003139001,0,0.027480197,0.030017731,0,0.35046269,0.316893089,0.000999999
4540,109393,16.43,1,0.008665609,0.005886681,0.011764706,0.039051724,0,0.368408143,0.306843267,0.001000055
4541,109394,16.676,1,0.005589809,0,0.006219971,0.030705128,0,0.371607516,0.306889353,0.000999999
4542,109396,17.772,0,0.002794905,0.004134672,0.006529948,0.03359127,0.028028028,0.388527925,0.289525497,0.001000055
4543,109397,16.318,1,0.004427606,0.001567398,0.011046184,0.035054945,0,0.380529432,0.292189133,0.001000055
4544,109398,16.03,1,0.004715524,0,0.005633634,0.026111111,0,0.356973995,0.316489362,0.000999999
4545,109399,16.676,1,0.006636143,0.007441328,0.013344333,0.03550813,0,0.348406793,0.326559817,0.000999999
4546,109400,15.93,1,0.009227398,0.002076843,0.012504869,0.0321,0,0.362062998,0.306853583,0.001000055
4547,109401,18.812,0,0.004417073,0.010708402,0.014331079,0.033722222,0,0.360241625,0.313426689,0.001000055
4548,109402,15.432,1,0.006263957,0.000349895,0.019532665,0.039043716,0,0.370888733,0.306158153,0.001000055
4549,109403,17.082,0,0.005807503,0.000524109,0.007992259,0.036136364,0,0.372816212,0.295859539,0.001000055
4550,109404,16.52,1,0.002373562,0.021081577,0.007657833,0.038687943,0,0.378857317,0.297891842,0.000999999
4551,109405,17.114,0,0.003286471,0,0.016528466,0.035357143,0,0.361391695,0.311167228,0.000999999
4552,109406,17.182,0,0.003146023,0.007621951,0.006725032,0.037272727,0,0.365853659,0.314786585,0.001000055
4553,109407,21.03,0,0.005154422,0.001577287,0.006332844,0.029351852,0,0.370136698,0.294164038,0.001000055
4554,109408,15.874,1,0.003763992,0.00893796,0.013721162,0.035222222,0,0.37574483,0.300473186,0.001000055
4555,109409,16.62,1,0.002201514,0,0.00675979,0.035310078,0,0.366630077,0.299121844,0.000999999
4556,109410,15.74,1,0.002717658,0.002739726,0.008364078,0.035096154,0,0.375038052,0.305479452,0.000999999
4557,109411,18.498,0,0.002787882,0.00443459,0.004880319,0.026845238,0,0.366592757,0.301552106,0.000999999
4558,109412,14.834,1,0.004708501,0.084577114,0.006525127,0.0335,0,0.402432283,0.277777778,0.000999999
4559,109415,17.502,0,0.010730186,0.1003861,0.008407999,0.035972222,0,0.329472329,0.301158301,0.000999999
4560,109416,15.3,1,0.004006264,0.028792913,0.005329886,0.037625,0,0.361757106,0.323920266,0.000999999
4561,109417,17.764,0,0.004554009,0.036670547,0.008580304,0.036709402,0,0.382615444,0.278812573,0.000999999
4562,109418,14.88,1,0.007921237,0.279773157,0.004906598,0.031488095,0,0.366729679,0.308128544,0.000999999
4563,109419,14.338,1,0.004006264,0.184848485,0.005041362,0.034375,0,0.360606061,0.303787879,0.001000055
4564,109420,14.824,1,0.006334181,0.063660477,0.005439409,0.031416667,0,0.364279399,0.287798408,0.000999999
4565,109421,14.85,1,0.007376301,0.23880597,0.003915076,0.0335,0,0.37700387,0.291044776,0.000999999
