,school_id,percent_grad_above,percent_female,total_repeaters,sc_ratio,st_ratio,sComp_ratio,perc_rep,WORKDAYS_PR,WORKDAYS_UPR,SCHHRSTCH_PR,SCHHRSCHILD_UPR,SCHHRSTCH_UPR,APPROACHBYROAD,CCE_YN,PCR_MAINTAINED,PCR_SHARED,WSEC25P_ENROLLED,SMC_YN,SMCNOMLOCAL_M,SMCNOMLOCAL_F,TXTBKRECD_YN,SMCMEM,SMSPARENTS,pass_percent,intervention
2036,27170507404,94.11764706,47.05882353,0,159.6666667,28.17647059,47.9,0,239,239,6,5.3,6,1,1,1,1,0,1,2,1,1,13,8,92.59,0
2037,27150905503,75.6097561,7.317073171,17,111.25,43.41463415,89,0.95505618,239,239,5.3,5.3,5.3,1,1,1,1,0,1,9,2,1,11,3,90.43,1
2038,27151314005,100,0,0,0,25.4,63.5,0,0,239,0,6,4,1,1,1,1,0,1,0,0,1,11,8,85.36,1
2039,27212001606,100,25,3,0,25.25,20.2,2.97029703,0,220,0,5.3,6,1,1,1,1,0,1,0,0,1,7,2,84,1
2040,27230700228,100,50,0,395,39.5,30.38461538,0,221,221,6.3,5.3,6.3,1,1,1,1,0,1,4,1,1,16,9,98.41,0
2041,27070802602,100,40,0,0,17.4,17.4,0,0,233,0,5.3,6.3,1,1,1,1,0,1,0,0,1,0,0,75,1
2042,27130711202,75,0,0,360,45,90,0,236,236,7,6.3,7,1,1,1,1,0,1,1,0,1,17,7,96.92,0
2043,27050211537,76.74418605,18.60465116,1,0,39.53488372,154.5454545,0.058823529,0,234,0,5.3,6.3,1,1,1,1,0,1,0,0,1,0,0,77.54,1
2044,27210115310,100,60,0,0,27.2,17,0,0,220,0,5.3,6,1,1,1,1,0,2,0,0,1,0,0,100,0
2045,27130708902,100,25,0,0,14,28,0,0,0,0,0,0,1,1,2,1,0,1,2,1,1,12,4,47.36,1
2046,27340508802,100,50,0,0,29.25,19.5,0,0,238,0,5.3,5.3,1,1,1,1,0,1,2,0,1,14,8,100,0
